270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270,271,270
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,29,28,29,28,29,28,29,28,28,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,194,195,192,192,192,196,197,198,199,200,201,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,218,219,192,192,192,220,221,222,223,224,225,80,28,29,28,29,28,29,28,29,28,29,28,28,29,30,0,1,0,0,27,28,29,30
51,192,192,192,192,192,192,192,192,192,192,192,197,198,197,198,197,197,197,197,198,194,194,194,194,194,54,0,1,0,0,59,346,347,54
51,192,192,192,192,192,192,192,219,219,219,192,194,194,194,194,194,194,194,194,194,194,194,194,217,218,54,0,1,0,0,59,370,371,54
51,192,192,192,192,194,195,192,192,192,219,192,8,9,10,9,10,9,10,9,10,9,10,11,217,218,54,0,1,0,0,59,219,219,54
51,192,192,192,192,218,219,192,220,220,220,192,210,38,39,153,153,153,104,105,153,152,153,213,217,218,54,24,25,0,0,59,217,218,54
99,9,10,9,10,9,10,9,10,9,9,10,83,62,63,177,177,177,128,129,177,176,177,213,217,218,80,81,82,81,82,83,217,218,54
75,152,152,152,152,152,152,152,104,105,152,152,152,86,87,152,152,152,14,15,152,176,177,213,217,218,196,197,198,199,201,217,218,218,54
75,176,176,176,176,176,176,176,128,129,176,176,176,176,176,176,176,176,38,39,176,177,177,213,219,218,192,192,192,217,217,217,217,218,54
75,176,152,176,177,177,177,177,177,177,177,177,177,177,177,177,177,152,152,152,152,152,152,213,219,218,8,100,101,100,101,9,9,10,102
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,59,219,218,210,153,153,153,106,107,153,153,56
98,1,2,27,28,28,29,28,29,28,29,28,29,28,29,28,29,28,29,81,82,81,82,83,217,218,210,153,153,153,130,131,153,153,56
98,1,2,51,162,163,196,197,198,199,196,197,196,197,198,199,193,193,193,193,193,193,193,193,193,193,80,28,29,28,29,28,29,30,98
98,1,2,51,186,187,216,216,216,216,216,192,192,193,217,217,217,217,217,217,217,217,217,217,217,192,193,196,197,198,199,200,201,54,98
98,1,2,75,192,193,192,192,192,192,192,216,192,192,193,8,9,10,9,10,9,10,11,216,217,216,217,220,221,222,223,224,225,54,98
98,1,2,75,216,217,216,194,194,216,216,216,192,216,217,210,152,106,107,152,152,152,60,216,156,157,192,192,192,193,192,192,193,54,98
98,1,2,75,216,217,192,194,194,156,157,193,192,193,217,210,152,130,131,152,152,152,60,216,180,181,216,216,192,193,216,192,193,54,98
98,2,2,75,346,347,216,192,192,180,181,193,193,193,217,210,176,176,176,176,176,176,60,192,193,194,195,192,193,194,195,193,193,54,98
98,1,2,75,370,371,216,216,216,217,217,217,217,217,217,210,24,25,25,25,25,25,60,216,217,218,219,216,217,218,219,217,217,54,98
98,1,2,99,100,101,100,101,100,101,100,101,100,101,101,83,24,25,24,0,24,25,80,9,10,9,10,9,9,10,9,9,10,54,98
98,1,2,59,152,152,152,152,152,128,129,152,152,152,152,152,24,25,25,24,24,25,152,152,152,152,152,152,152,152,38,39,152,54,98
