-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,-1,1,-1,2,-1,64,64,64,64,64,64,64,-1,64,-1,64,-1,118,-1,29,-1,30,120,-1,113,-1,114,-1,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
-1,-1,-1,19,-1,20,-1,-1,-1,-1,-1,-1,64,64,-1,64,-1,64,-1,118,-1,29,-1,30,120,-1,113,-1,114,-1,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
18,-1,19,19,-1,20,-1,1,-1,1,2,-1,64,-1,64,64,-1,64,64,118,-1,29,-1,30,120,-1,113,-1,114,-1,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
-1,-1,19,19,-1,20,-1,-1,-1,-1,-1,-1,64,64,64,64,-1,64,64,118,-1,29,-1,30,120,-1,113,-1,114,-1,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
18,-1,19,19,-1,-1,-1,19,19,-1,20,-1,64,64,64,64,-1,64,64,118,-1,29,-1,30,120,-1,113,-1,114,114,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
-1,-1,-1,-1,-1,20,-1,19,-1,19,20,-1,64,64,64,64,-1,64,64,118,-1,29,-1,30,120,-1,113,-1,114,114,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
36,37,38,37,-1,38,-1,19,-1,19,20,-1,64,64,64,64,64,64,64,118,-1,29,-1,30,120,-1,113,-1,114,114,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
-1,-1,-1,-1,-1,-1,-1,19,-1,19,20,-1,108,-1,-1,-1,64,64,64,118,-1,29,-1,30,120,-1,-1,-1,114,114,114,123,134,134,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
54,55,-1,55,-1,18,-1,19,-1,19,20,-1,108,-1,110,-1,64,64,64,118,-1,29,-1,30,120,-1,113,-1,114,114,114,123,134,-1,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
72,73,-1,18,-1,18,-1,19,-1,19,20,-1,108,-1,110,-1,64,64,-1,118,-1,29,-1,30,120,-1,-1,-1,114,-1,-1,123,134,-1,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
-1,57,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,108,-1,109,-1,-1,64,-1,118,-1,29,-1,30,120,-1,131,-1,132,132,132,123,134,-1,134,134,134,134,134,134,134,134,113,114,114,114,114,114,114,-1
90,75,-1,18,-1,36,-1,37,-1,37,38,-1,108,-1,109,109,-1,64,-1,118,-1,29,-1,30,120,-1,-1,-1,-1,-1,-1,123,134,-1,134,134,134,134,134,134,134,134,131,132,132,132,132,132,132,-1
108,109,109,18,-1,-1,-1,-1,-1,-1,-1,-1,108,-1,109,109,110,64,64,118,-1,29,-1,30,120,-1,172,-1,173,173,173,123,134,134,134,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,19,-1,19,20,-1,56,-1,109,109,109,-1,110,-1,64,118,-1,29,-1,30,120,-1,172,-1,-1,-1,173,123,134,134,134,134,-1,15,16,-1,16,-1,16,-1,16,-1,16,-1,16,-1
126,127,-1,36,-1,37,-1,37,38,-1,56,-1,109,109,109,109,-1,-1,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,141,134,134,134,134,-1,-1,-1,34,-1,34,-1,-1,-1,-1,-1,-1,34,-1
-1,-1,-1,54,-1,188,189,-1,-1,-1,-1,-1,109,109,109,-1,-1,64,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,141,142,142,142,142,143,33,-1,34,-1,34,34,34,34,34,34,34,34,-1
194,64,-1,54,-1,206,207,-1,56,-1,109,109,-1,109,109,110,-1,64,-1,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,173,-1,33,-1,34,34,34,-1,34,34,34,34,34,34,-1
64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109,-1,-1,64,64,-1,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,173,-1,-1,-1,34,34,-1,-1,34,-1,34,-1,34,34,-1
64,64,64,64,64,64,109,109,109,109,109,109,109,109,64,-1,64,64,-1,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,-1,-1,33,-1,34,34,34,34,34,34,34,34,34,34,-1
64,64,64,64,64,64,109,109,109,109,109,109,109,109,64,-1,64,64,-1,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,15,-1,33,-1,34,-1,34,-1,34,-1,34,-1,34,-1,-1
64,64,108,-1,109,109,109,109,109,-1,109,109,-1,-1,64,-1,64,64,-1,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,-1,-1,51,-1,52,-1,52,-1,52,-1,52,-1,52,53,-1
64,64,-1,-1,-1,-1,109,-1,-1,109,109,109,-1,-1,64,-1,64,64,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,33,-1,-1,-1,-1,-1,70,-1,-1,-1,152,153,-1,-1,-1
64,64,126,-1,127,127,127,127,127,127,-1,127,128,-1,64,-1,64,-1,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,-1,-1,211,212,212,-1,-1,70,-1,70,170,171,-1,70,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,64,64,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,33,-1,229,230,230,-1,35,-1,-1,-1,-1,-1,-1,-1,-1
106,-1,106,-1,106,-1,106,-1,106,-1,106,-1,106,-1,159,-1,64,64,64,118,-1,29,-1,30,120,-1,172,-1,173,-1,173,173,173,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,155,-1,155,156,-1
